id,product_name,price,sold,rating,category,description
39,Thùng 30 gói mì xào Hảo Hảo hải sản đậm vị Việt 71g,118000.0,0,0.0,Mì,"Sản phẩm mì ăn liền hương vị thơm ngon chính hãng mì Hảo Hảo được nhiều người yêu thích. Thùng 30 gói mì xào Hảo Hảo hải sản đậm vị Việt 71g hương vị mới lạ độc đáo, cho gia đình bạn bữa ăn ngon nhanh chóng và dinh dưỡng"
40,Thùng 30 gói mì Hảo Hảo tôm chua cay 75g,115000.0,0,0.0,Mì,"Sợi mì Hảo Hảo vàng dai ngon hòa quyện trong nước súp tôm chua cay đậm đà từng sợi mì sóng sánh cùng hương thơm quyến rũ ngất ngây. Thùng 30 gói mì Hảo Hảo tôm chua cay 75g là lựa chọn hấp dẫn không thể bỏ qua đặc biệt là những ngày bận rộn cần bổ sung năng lượng nhanh chóng, đủ chất"
41,Thùng 30 gói mì 3 Miền gà sợi phở gói 65g,80000.0,0,0.0,Mì,"Mì ăn liền chính hãng mì 3 Miền sở hữu nét đậm đà chuẩn hương vị truyền thống. Thùng 30 gói mì 3 Miền gà sợi phở gói 65g với sợi mì to bản được kết hợp hoàn hảo với nước súp đậm đà và hương thơm của hành phi, mang đến một hương vị thơm ngon khó cưỡng cho người tiêu dùng."
42,Cá nục xốt cà 3 Cô Gái hộp 190g,27500.0,0,0.0,Cá hộp,"Cá hộp tiện lợi, thơm ngon với hương vị đậm đà cùng nước sốt cà hoàn hảo. Cá nục xốt cà 3 Cô Gái hộp 190g có thể dùng để ăn liền hoặc chế biến thành các món ăn tuỳ ý. Cá hộp Ba Cô Gái chứa nhiều dưỡng chất, cung cấp bữa ăn nhanh, tiết kiệm thời gian cho bạn và gia đình."
43,Cá nục kho tiêu Sea Crown hộp 155g,16000.0,0,0.0,Cá hộp,"Được làm hoàn toàn từ cá nục tươi cùng với các loại gia vị như sốt, ớt, hành, tiêu đen,...và ngâm trong một loại dầu cao cấp để giúp cá mềm và ngậy hơn, kết hợp với hương tiêu đen thơm ngon, cay nồng đã tạo nên một món ăn đầy thơm ngon và tiện lợi."
44,Cá nục sốt cà vị cay Sea Crown hộp 155g,16000.0,0,0.0,Cá hộp,"Cá nục sốt cà cay Sea Crown hộp 155g chứa hàm lượng dinh dưỡng cao được làm từ cá nục tươi, sốt cà chua cùng các loại gia vị quen thuộc cùng quy trình sản xuất hiện đại. Khi ăn, bạn sẽ cảm nhận vị chua ngọt và cay của sốt cà, vị béo của cá nục, giúp bữa ăn trở nên kích thích hơn, hấp dẫn hơn."
45,Cá trích sốt cà Sea Crown hộp 155g,16000.0,0,0.0,Cá hộp,"Cá trích sốt cà Sea Crown hộp 155g được chế biến từ những con cá trích chọn lọc tươi ngon nhất, kết hợp cùng sốt cà chua và những gia vị tuyệt vời khác tạo ra món ăn đậm đà, khó cưỡng. Rất phù hợp để chế biến món ăn trong gia đình hoặc để đi du lịch hoặc dã ngoại."
46,Cá trích sốt cà Sardines Sailer Wheel hộp 155g,17000.0,0,0.0,Cá hộp,"Cá hộp Sailer Wheel là sự hòa quyện giữa xốt cà chua đậm đà. Cá xốt cà Sardines Sailer Wheel hộp 155g là sản phẩm cá hộp vừa thơm ngon, hấp dẫn lại vừa mang đến bữa ăn đầy đủ dinh dưỡng, an toàn cho sức khỏe."
47,Cá ngừ ngâm dầu Tuna Việt Nam hộp 140g,22000.0,0,0.0,Cá hộp,"Cá ngừ ngâm dầu Tuna Việt Nam lon 140g là sản phẩm cá hộp mang đến hương vị cá ngừ truyền thống. Với phần thịt cá ngừ chiếm 70% và dầu thực vật cùng các loại gia vị. Cá hộp Tuna Việt Nam sẽ giúp bạn có cảm nhận được độ béo và tơi xốp của phần thịt cá cùng với lớp dầu thực vật thơm ngon, lạ miệng."
48,Cá ngừ xốt cay Tuna Việt Nam lon 140g,22000.0,0,0.0,Cá hộp,"Cá ngừ xốt cay Tuna Việt Nam là sản phẩm mang đến vị cay nhẹ độc đáo, mới lạ. Với phần thịt cá ngừ chiếm 60% cùng với xốt cà chua cô đặc và bột ớt, sản phẩm giúp cho bữa ăn của người trở nên ngon hơn và bắt cơm hơn bởi phần thịt cá ngừ mềm và tơi xốp cùng với nước sốt ngọt chua cay hòa quyện."
49,Cá ngừ xốt cà ri Tuna Việt Nam hộp 155g,13000.0,0,0.0,Cá hộp,"Cá hộp Tuna Việt Nam thơm ngon, thịt cá hồi chắc, ngọt thịt. Cá ngừ xốt cà ri Tuna Việt Nam hộp 155g với loại xốt cà ri chất lượng với công thức pha chế riêng mang đến hương vị đậm đà. Cá hộp rất tiện lợi, sử dụng trực tiếp với cơm, cháo,....hoặc chế biến thành nhiều món hấp dẫn khác"
50,Cá ngừ xốt tương Tuna Việt Nam hộp 155g,22000.0,0,0.0,Cá hộp,"Cá hộp Tuna Việt Nam thơm ngon, thịt cá hồi chắc, ngọt thịt. Cá ngừ xốt tương Tuna Việt Nam hộp 155g với loại xốt tương chất lượng với công thức pha chế riêng mang đến hương vị đậm đà. Cá hộp rất tiện lợi, sử dụng trực tiếp với cơm, cháo,....hoặc chế biến thành nhiều món hấp dẫn khác"
51,Cá mòi xốt cà chua Hi Chef 155g,13500.0,0,0.0,Cá hộp,"Cá hộp Hi Chef là thương hiệu đồ hộp chất lượng được nhiều người yêu thích. Cá mòi xốt cà chua Hi Chef 155g mang hương vị thơm ngon, đậm đà cho bữa ăn gia đình bạn thêm tròn vị và hấp dẫn. Cá hộp được làm từ những thành phần an toàn cho người sử dụng."
52,Cá nục sốt cà nắp giật Lilly hộp 155g,14000.0,0,0.0,Cá hộp,"Được chế biến và đóng hộp tiện lợi, tiết kiệm thời gian chế biến cho các bà nội trợ. Cá nục sốt cà nắp giật Lilly hộp 155g có hương vị thơm đặc trưng của thịt cá nục tươi cùng các loại gia vị. Đặc biệt sản phẩm còn có sốt cà mang lại hương vị thơm ngon, hấp dẫn."
53,Bánh cracker vị cốm AFC 5 gói,24500.0,0,0.0,Bánh quy,"Bánh cracker vị cốm non AFC Dinh Dưỡng hộp 109g là loại bánh quy, bổ sung hàm lượng canxi cao giúp xương chắc khỏe và chất xơ từ yến mạch hỗ trợ tiêu hóa với vị cốm non thơm dịu ngọt ngào. Bánh quy AFC mỏng giòn rụm càng hấp dẫn và kích thích vị giác hơn nữa."
54,Bánh gấu nhân caramel Meiji 43g,23000.0,0,0.0,Bánh quy,"Bánh quy nhân kem dâu béo, ăn giòn ngon, có độ ngọt vừa phải không quá ngán. Bánh gấu nhân caramel Meiji Hello Panda hộp 43g giòn ngon, đậm vị in hình ngộ nghĩnh trên bánh, kích thích vị giác, giúp bé vừa ăn vừa chơi vừa sáng tạo. Bánh quy Meiji là thương hiệu Nhật Bản"
55,Bánh quy kẹp kem phô mai Lexus 150g,29000.0,0,0.0,Bánh quy,"Bánh quy kẹp kem phô mai Lexus hộp 150g là sản phẩm bánh quy thơm ngon được nhập khẩu từ Malaysia với thành phần nguyên liệu cao cấp, chất lượng. Bánh quy Lexus được kẹp nhân kem phô mai thơm béo, giòn rụm, đây là loại bánh quy mặn thơm ngon, dễ dùng."
56,Bánh trứng sữa chua hạt điều Tipo 126g,34500.0,0,0.0,Bánh quy,"Bánh trứng sữa chua rắc hạt điều Tipo hộp 126g là loại bánh quy trứng giòn được làm từ 100% trứng tươi ngon. Bánh quy Tipo có lớp phủ sữa chua, nhân hạt điều giòn rụm, thơm ngon, bánh cung cấp năng lượng, vị sữa chua thơm ngọt kết hợp cùng hạt điều béo ngậy hấp dẫn."
57,Bánh quy mạch nha trứng muối Franzzi 102g,32000.0,0,0.0,Bánh quy,"Bánh quy mạch nha lòng đỏ trứng muối Franzzi gói 102g là loại bánh quy Franzzi mạch nha với nhân trứng muối béo thơm hấp dẫn. Đây là loại bánh quy mặn được nhập khẩu với hương vị ngon, mới lạ, bổ sung năng lượng cho cơ thể."
58,Bánh quy kem dẻo Richy Kenju Nougat Latte 155g,47500.0,0,0.0,Bánh quy,Thưởng thức bánh quy giòn rụm với lớp kem dẻo thơm hương latte cùng bánh quy Richy. Bánh quy kem dẻo Richy Kenju Nougat Latte vị cà phê trứng gói 155g là sản phẩm mới với lớp kem dẻo độc đáo kết hợp cùng vị giòn mặn mặn của bánh sẽ cung cấp dinh dưỡng và năng lượng cho bạn mỗi ngày.
59,Bánh quy sữa tươi Tích Sỹ Giai 100g,15000.0,0,0.0,Bánh quy,"Bánh quy vị sữa tươi Tích Sỹ Giai Dad Biscuit gói 100g là sản phẩm bánh quy được làm từ thành phần trứng gà tươi và sữa bột tạo nên hương vị thơm ngon hảo hạng. Bánh quy Tích Sỹ Giai là thương hiệu lâu đời gắn liền với tuổi thơ của thế hệ 8x, 9x, đa dạng hương vị bánh bổ dưỡng, hấp dẫn."
60,Bánh quy phô mai Imperial Rosy 100g,10000.0,0,0.0,Bánh quy,"Bánh quy phô mai Imperial Rosy gói 100g là loại bánh quy có xuất xứ từ Thái Lan, hương vị bánh giòn rụm kết hợp cùng nhân phô mai thơm béo càng làm tăng sự hấp dẫn cho chiếc bánh. Bánh quy Imperial được sản xuất từ thành phần đảm bảo chất lượng, hương vị bánh phù hợp với khẩu vị người dùng."
61,Bánh cracker kem dẻo vị tảo Bibica Gooka 180g,30000.0,0,0.0,Bánh quy,"Bánh cracker kem dẻo vị tảo Bibica Gooka Nougat Filling hộp 180g là loại bánh quy với lớp bánh giòn rụm kết hợp cùng nhân kem dẻo vị tảo biển thơm kích thích vị giác. Bánh quy Bibica được nướng, không chiên giúp bánh không ngấy, thơm hơn và an toàn cho sức khỏe."
62,Bánh sườn bò sốt cam Orion 35g,13000.0,0,0.0,Bánh quy,"Bánh quy hình cá dễ thương, nay có vị này mới, giòn giòn, vị mặn mặn, ngọt ngọt nên bé thích ăn. Bánh quy vị sườn bò sốt cam Jungle Boy T-Rex Orion hộp 35g tiện lợi dễ bảo quản, bé vừa ăn vừa học hiệu quả. Bánh quy Orion chất lượng, được nhiều người chọn mua vì sự thơm ngon và chất lượng."
63,Bánh quy bơ Kokola 100g,25000.0,0,0.0,Bánh quy,"Bánh quy Kokola béo ngậy, thơm ngon nhờ được làm từ sữa tạo nên sự ngọt ngào trong từng miếng bánh quy. Bánh quy bơ Kokola Waffle Cookies hộp 100g kết hợp với lớp bánh giòn rụm, khiến bạn không thể nào cưỡng lại."
64,Bánh phô mai lắc Orion 31.6g,13000.0,0,0.0,Bánh quy,"Bánh quy vị phô mai lắc bùng nổ Orion Jungle Boy hộp 31.6g là sản phẩm bánh quy đến từ thương hiệu bánh Hàn Quốc nổi tiếng với vị phô mai lắc thơm béo hấp dẫn. Bánh quy Orion được sản xuất từ những thành phần chất lượng, hương vị thơm ngon và an toàn cho sức khỏe."
65,Bánh quy kem dâu Oreo 119.6g,14000.0,0,0.0,Bánh quy,"Bánh quy kẹp kem dâu thơm ngon, với lớp vỏ màu đen, có vị đắng nhẹ nhưng lại ngọt không gắt kích thích vị giác. Bánh quy Oreo kem dâu gói 119.6g dinh dưỡng, ngon miệng, vừa ăn vừa chơi. Bánh quy Oreo có thể chấm sữa ăn rất thú vị hoặc làm nguyên liệu làm bánh"
66,Bánh quy kem việt quất Oreo 119.6g,14000.0,0,0.0,Bánh quy,"Bánh quy kẹp kem lạnh việt quất thơm ngon, với lớp vỏ màu đen, có vị đắng nhẹ nhưng lại ngọt không gắt kích thích vị giác. Bánh quy socola Oreo kem lạnh việt quất gói 119.6g dinh dưỡng, ngon miệng, vừa ăn vừa chơi. Bánh quy Oreo có thể chấm sữa ăn rất thú vị hoặc làm nguyên liệu làm bánh"
67,Gạo còn cám Vinh Hiển Khổng Tước Nguyên túi 5kg,115000.0,0,0.0,Gạo,"Là loại gạo còn cám, giàu chất dinh dưỡng, tốt cho sức khoẻ. Gạo còn cám Vinh Hiển Khổng Tước Nguyên túi 5kg được sản xuất từ giống lúa Tiến Vua chọn lọc, cho hạt gạo dài, màu trắng sữa đục. Khi nấu, gạo cho cơm dẻo nhiều, thơm mềm và ngọt. Đặc biệt, cơm vẫn mềm ngon ngay cả khi để nguội."
68,Gạo Vinh Hiển Đặc sản ST24 túi 2kg,65000.0,0,0.0,Gạo,"Đặc tính gạo là cơm rất dẻo, mềm và thơm, nở ít. Gạo được trồng từ giống lúa ST24. Gạo Vinh Hiển Đặc sản ST24 túi 2kg được canh tác theo quy trình chăm sóc khoa học, không chất kích thích tăng trưởng. Gạo của thương hiệu gạo Vinh Hiển chất lượng, an toàn, sạch và chất kích thích tăng trưởng."
69,Gạo lứt Vinh Hiển túi 2kg,51000.0,0,0.0,Gạo,"Giống gạo được tuyển chọn từ vùng trồng gạo nổi tiếng kết hợp với công nghệ sản xuất đạt chuẩn HACCP. Gạo lứt Vinh Hiển túi 2kg thích hợp cho những người muốn ăn kiêng, giảm cân. Gạo đến từ thương hiệu gạo Vinh Hiển chất lượng, an toàn, sạch và không chứa chất kích thích tăng trưởng."
70,Nếp sáp Vinh Hiển túi 1kg,32500.0,0,0.0,Gạo,"Hạt gạo có đặc tính dẻo dính, xôi thơm. Gạo được canh tác từ giống nếp được tuyển chọn kết hợp với công nghệ sản xuất đạt chuẩn.  HACCP. Nếp sáp Vinh Hiển túi 1kg dinh dưỡng, an toàn và dẻo. Gạo Vinh Hiển chất lượng, an toàn, sạch và không chứa chất kích thích"
71,Nếp cái hoa vàng Vinh Hiển túi 1kg,36000.0,0,0.0,Gạo,"Gạo có đặc tính cơm mềm dẻo, thơm ngon. Được canh tác từ nếp cái hoa vàng Bắc, mang đến chất lượng cao. Nếp cái hoa vàng Vinh Hiển túi 1kg dinh dưỡng, an toàn và dẻo. Gạo của thương hiệu gạo Vinh Hiển chất lượng, an toàn, sạch và không chứa chất kích thích tăng trưởng."
72,Nếp chùm Vinh Hiển túi 1kg,29000.0,0,0.0,Gạo,"Dẻo nhiều, cơm mềm. Nếp chùm Vinh Hiển túi 1kg sạch, an toàn, cơm ngon. Gạo nếp được cấy trồng theo mô hình tiên tiến, không sử dụng chất kích thích.  Nếp Vinh Hiển chất lượng, khi ăn cảm thấy ngon miệng lại cung cấp chất dinh dưỡng cho gia đình."
73,Gạo lứt đỏ Vinh Hiển túi 1kg,41500.0,0,0.0,Gạo,"Giống gạo được sản xuất với công nghệ sản xuất đạt chuẩn HACCP. Gạo lứt đỏ Vinh Hiển túi 1kg dẻo hơn so với những loại gạo lứt khác, thích hợp cho những người muốn ăn kiêng, giảm cân. Gạo Vinh Hiển chất lượng, an toàn, sạch và không chứa chất kích thích tăng trưởng."
74,Gạo thơm Ngon ST24 túi 5kg,165000.0,0,0.0,Gạo,"Gạo khi nấu cho cơm mềm ngọt, dẻo dai, rất ngon tạo cảm giác dễ chịu cho người ăn. Gạo thơm Ngon ST24 túi 5kg thuộc thương hiệu gạo Ngon được nuôi trồng canh tác theo quy trình tiên tiến, nghiêm ngặt đảm bảo không chất bảo quản, không thuốc trừ sâu, kích thích tăng trưởng."
75,Nếp cái hoa vàng Ông Cụ túi 1kg,36000.0,0,0.0,Gạo,"Hạt gạo ngắn tròn, khi nấu cho cơm dẻo, mềm, vị ngọt tự nhiên, tạo cảm giác ngon miệng cho người ăn.Nếp cái hoa vàng Ông Cụ túi 1kg của hãng gạo Ông cụ đảm bảo các chỉ tiêu về chất lượng, an toàn đến tay người dùng. Mang đến bữa cơm ngon miệng cho gia đình bạn."
76,Gạo Nhật shinichi Vua Gạo túi 5kg,140000.0,0,0.0,Gạo,"Hạt gạo dẻo nhiều, cơm mềm. Gạo Nhật shinichi Vua Gạo túi 5kg thích hợp làm cơm cuộn, sushi, ăn ngon miệng. Gạo Vua Gạo có nguồn gốc từ gạo giống Nhật Japonica, mang đến cho bạn cảm giác lạ miệng nhưng ngon cơm. Gạo được trồng quy trình an toàn, khép kín"
